DATAS,NUMEROS
04-APR-23,3829
05-APR-23,2205
06-APR-23,33
08-APR-23,2
09-APR-23,69
10-APR-23,3609
11-APR-23,4929
12-APR-23,4710
13-APR-23,4559
14-APR-23,3807
15-APR-23,7540
17-APR-23,4118
18-APR-23,4194
19-APR-23,3491
20-APR-23,3187
21-APR-23,9
22-APR-23,1
24-APR-23,2245
25-APR-23,6209
26-APR-23,11941
27-APR-23,9916
28-APR-23,9646
29-APR-23,56
30-APR-23,1
01-MAY-23,1
02-MAY-23,7792
03-MAY-23,8250
04-MAY-23,7558
05-MAY-23,8154
06-MAY-23,19054
07-MAY-23,2
08-MAY-23,8856
09-MAY-23,8858
10-MAY-23,6419
11-MAY-23,7521
12-MAY-23,6512
15-MAY-23,6020
16-MAY-23,1928
17-MAY-23,8097
18-MAY-23,1871
19-MAY-23,5773
20-MAY-23,322
22-MAY-23,6017
23-MAY-23,1791
24-MAY-23,8106
25-MAY-23,1427
26-MAY-23,6971
27-MAY-23,454
29-MAY-23,8287
30-MAY-23,2850
31-MAY-23,15932
01-JUN-23,1775
02-JUN-23,8140
03-JUN-23,5229
04-JUN-23,1
05-JUN-23,1564
06-JUN-23,1026
07-JUN-23,6588
08-JUN-23,58
09-JUN-23,8
12-JUN-23,4664
13-JUN-23,1505
14-JUN-23,2606
